measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Female,5-9 years,Falls,Percent,2007,0.0026185569634676,0.0035532000379546,0.0016935699062289
Prevalence,Eswatini,Both,5-9 years,Falls,Percent,2007,0.0025890679102163,0.0034717523347851,0.001717140106955
Prevalence,Eswatini,Male,10-14 years,Falls,Percent,2007,0.0070360793161977,0.0090459093170212,0.0048681292399662
Prevalence,Eswatini,Female,10-14 years,Falls,Percent,2007,0.0059498236002042,0.0075250034625601,0.0041648340944374
Prevalence,Eswatini,Both,10-14 years,Falls,Percent,2007,0.0064760222429607,0.00822757812111,0.0046458675305339
Prevalence,Eswatini,Male,15-19 years,Falls,Percent,2007,0.0141939147814828,0.0176562643557691,0.011272538601389
Prevalence,Eswatini,Female,15-19 years,Falls,Percent,2007,0.0091302669377042,0.0116181323664398,0.0067443533326295
Prevalence,Eswatini,Both,15-19 years,Falls,Percent,2007,0.0115148546153315,0.0144399776637873,0.0088640805072153
Prevalence,Eswatini,Male,20-24 years,Falls,Percent,2007,0.0231185777388281,0.028278693288959,0.018815337847732
Prevalence,Eswatini,Female,20-24 years,Falls,Percent,2007,0.0118352561131505,0.0149414859896989,0.0093450329415159
Prevalence,Eswatini,Both,20-24 years,Falls,Percent,2007,0.0169794794860373,0.0209425931820327,0.0139184566289395
Prevalence,Eswatini,Male,25-29 years,Falls,Percent,2007,0.0315054086628277,0.0370835498366375,0.0258713418311586
Prevalence,Eswatini,Female,25-29 years,Falls,Percent,2007,0.014348665500494,0.0177817610902577,0.0114953424794652
Prevalence,Eswatini,Both,25-29 years,Falls,Percent,2007,0.022178143666783,0.0263232744856491,0.0181422423304011
Prevalence,Eswatini,Male,30-34 years,Falls,Percent,2007,0.0391283201575725,0.0478871377863313,0.0322733954915437
Prevalence,Eswatini,Female,30-34 years,Falls,Percent,2007,0.0165992232202509,0.0200618583111148,0.0134733854923641
Prevalence,Eswatini,Both,30-34 years,Falls,Percent,2007,0.0271987446343348,0.0326807066055854,0.0223151108145101
Prevalence,Eswatini,Male,35-39 years,Falls,Percent,2007,0.0459313218801607,0.0546101845458083,0.0388280951070068
Prevalence,Eswatini,Female,35-39 years,Falls,Percent,2007,0.0185766236883428,0.0223018619932739,0.0154566661589122
Prevalence,Eswatini,Both,35-39 years,Falls,Percent,2007,0.0314227684282139,0.0369985860414755,0.0265066392326497
Prevalence,Eswatini,Male,40-44 years,Falls,Percent,2007,0.0506375949225152,0.058666604199775,0.0439107503568891
Prevalence,Eswatini,Female,40-44 years,Falls,Percent,2007,0.0202657723827365,0.0243341635521297,0.0170332548309579
Prevalence,Eswatini,Both,40-44 years,Falls,Percent,2007,0.0340944628679059,0.0397274294247901,0.0293306922468332
Prevalence,Eswatini,Male,45-49 years,Falls,Percent,2007,0.0557580309412933,0.063591771565333,0.0481544764586887
Prevalence,Eswatini,Female,45-49 years,Falls,Percent,2007,0.0224886638943755,0.0265888592003973,0.0188921401246417
Prevalence,Eswatini,Both,45-49 years,Falls,Percent,2007,0.0375807196137985,0.0434207777050208,0.0322079393196774
Prevalence,Eswatini,Male,5-9 years,"Fire, heat, and hot substances",Percent,2007,0.001972640501649,0.0025942439332252,0.0015223122400211
Prevalence,Eswatini,Female,5-9 years,"Fire, heat, and hot substances",Percent,2007,0.0029968426089263,0.0040209812526258,0.0022937176674321
Prevalence,Eswatini,Both,5-9 years,"Fire, heat, and hot substances",Percent,2007,0.002491150288981,0.0033129618283471,0.0019126971603401
Prevalence,Eswatini,Male,10-14 years,"Fire, heat, and hot substances",Percent,2007,0.0047729461783673,0.0065755752203181,0.0037189286596171
Prevalence,Eswatini,Female,10-14 years,"Fire, heat, and hot substances",Percent,2007,0.0074196814622673,0.0102425501504221,0.0057662155625768
Prevalence,Eswatini,Both,10-14 years,"Fire, heat, and hot substances",Percent,2007,0.0061374879370659,0.0084268219107049,0.0047704757936411
Prevalence,Eswatini,Male,15-19 years,"Fire, heat, and hot substances",Percent,2007,0.0092511542466864,0.0125316548439235,0.0071533338397229
Prevalence,Eswatini,Female,15-19 years,"Fire, heat, and hot substances",Percent,2007,0.0145726371685684,0.0193830536565179,0.0112427591279808
Prevalence,Eswatini,Both,15-19 years,"Fire, heat, and hot substances",Percent,2007,0.0120667269628058,0.0162612979062942,0.009415158769691
