population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,New York,Both,70-74 years,Diabetes mellitus type 1,Percent,1990,0.0033175183613186,0.0050250759737919,0.0022506058507112
All Population,Prevalence,New York,Both,75-79 years,Diabetes mellitus type 1,Percent,1990,0.0028847244301881,0.0044652861644169,0.0019132162125817
All Population,Prevalence,New York,Both,80+ years,Diabetes mellitus type 1,Percent,1990,0.0022610607544803,0.0036594886422701,0.0013696937437892
All Population,Prevalence,New York,Both,<5 years,Diabetes mellitus type 2,Percent,1990,0.0,0.0,0.0
All Population,Prevalence,New York,Both,5-9 years,Diabetes mellitus type 2,Percent,1990,0.0,0.0,0.0
All Population,Prevalence,New York,Both,10-14 years,Diabetes mellitus type 2,Percent,1990,0.0,0.0,0.0
All Population,Prevalence,New York,Both,15-19 years,Diabetes mellitus type 2,Percent,1990,0.0042388307691369,0.0062218136955011,0.0025124142512441
All Population,Prevalence,New York,Both,20-24 years,Diabetes mellitus type 2,Percent,1990,0.0065069666825477,0.0088091409582743,0.004549300232812
All Population,Prevalence,New York,Both,25-29 years,Diabetes mellitus type 2,Percent,1990,0.0092974753213738,0.0120679209530156,0.0068285287001224
All Population,Prevalence,New York,Both,30-34 years,Diabetes mellitus type 2,Percent,1990,0.0143329673358204,0.0178295205160797,0.0109680900047221
All Population,Prevalence,New York,Both,35-39 years,Diabetes mellitus type 2,Percent,1990,0.0231093798891522,0.0281293105710678,0.0186344505767152
All Population,Prevalence,New York,Both,40-44 years,Diabetes mellitus type 2,Percent,1990,0.0380326000035042,0.0474370755993576,0.0312133734407498
All Population,Prevalence,New York,Both,45-49 years,Diabetes mellitus type 2,Percent,1990,0.0675489215718274,0.0792913256536071,0.0572374591571001
All Population,Prevalence,New York,Both,50-54 years,Diabetes mellitus type 2,Percent,1990,0.1075394120497041,0.1246483705962788,0.0889546620746071
All Population,Prevalence,New York,Both,55-59 years,Diabetes mellitus type 2,Percent,1990,0.1396105715133691,0.1600366780219541,0.1197899582592715
All Population,Prevalence,New York,Both,60-64 years,Diabetes mellitus type 2,Percent,1990,0.1606493272869548,0.1823788604685313,0.1394035621657501
All Population,Prevalence,New York,Both,65-69 years,Diabetes mellitus type 2,Percent,1990,0.1730581998894201,0.1944528822022207,0.1518600955468238
All Population,Prevalence,New York,Both,70-74 years,Diabetes mellitus type 2,Percent,1990,0.1782632122051043,0.1974436903208108,0.1592190784230065
All Population,Prevalence,New York,Both,75-79 years,Diabetes mellitus type 2,Percent,1990,0.1779024357693935,0.1986983789263764,0.1577684016503345
All Population,Prevalence,New York,Both,80+ years,Diabetes mellitus type 2,Percent,1990,0.1650996968733097,0.1861449396929972,0.1446464838934671
All Population,Prevalence,New York,Both,<5 years,Chronic kidney disease,Percent,1991,0.0004150383913463,0.0005286340212608,0.000319721584156
All Population,Prevalence,New York,Both,5-9 years,Chronic kidney disease,Percent,1991,0.0023518524782044,0.0032292008075906,0.0017170703169677
All Population,Prevalence,New York,Both,10-14 years,Chronic kidney disease,Percent,1991,0.0123806215353723,0.0159235836423846,0.0093805924257919
All Population,Prevalence,New York,Both,15-19 years,Chronic kidney disease,Percent,1991,0.031360527183496,0.0410214133662466,0.0237157396401314
All Population,Prevalence,New York,Both,20-24 years,Chronic kidney disease,Percent,1991,0.0456236861531519,0.0583146533769218,0.0361010832990219
All Population,Prevalence,New York,Both,25-29 years,Chronic kidney disease,Percent,1991,0.0497094971669883,0.0632159428319806,0.0385253670498556
All Population,Prevalence,New York,Both,30-34 years,Chronic kidney disease,Percent,1991,0.0548425654046914,0.0698741146215025,0.0422341878316578
All Population,Prevalence,New York,Both,35-39 years,Chronic kidney disease,Percent,1991,0.0611404320239785,0.0755387684969111,0.0477097706815467
All Population,Prevalence,New York,Both,40-44 years,Chronic kidney disease,Percent,1991,0.0656168437729349,0.0825249178824176,0.0529433953391439
All Population,Prevalence,New York,Both,45-49 years,Chronic kidney disease,Percent,1991,0.0744902565337074,0.0900281668625069,0.059469400244037
All Population,Prevalence,New York,Both,50-54 years,Chronic kidney disease,Percent,1991,0.0930728873819792,0.1124808724766001,0.0757556349695714
All Population,Prevalence,New York,Both,55-59 years,Chronic kidney disease,Percent,1991,0.1192943817173909,0.1433479976813576,0.0978345822298063
All Population,Prevalence,New York,Both,60-64 years,Chronic kidney disease,Percent,1991,0.1607760494998775,0.1908894473909897,0.1339973743843876
All Population,Prevalence,New York,Both,65-69 years,Chronic kidney disease,Percent,1991,0.2351031895961475,0.2736728918345323,0.1975974515212955
All Population,Prevalence,New York,Both,70-74 years,Chronic kidney disease,Percent,1991,0.3300392479669614,0.3770614534109145,0.2847690992857906
All Population,Prevalence,New York,Both,75-79 years,Chronic kidney disease,Percent,1991,0.4329699343569111,0.4901402610571126,0.3786946243703654
All Population,Prevalence,New York,Both,80+ years,Chronic kidney disease,Percent,1991,0.5922071327911119,0.6473872048558427,0.5496857040408442
All Population,Prevalence,New York,Both,<5 years,Chronic kidney disease,Percent,1990,0.0004168909071514,0.000529726510066,0.0003228583360992
All Population,Prevalence,New York,Both,5-9 years,Chronic kidney disease,Percent,1990,0.0023481775018452,0.003214390312221,0.0017243574227037
All Population,Prevalence,New York,Both,10-14 years,Chronic kidney disease,Percent,1990,0.0123261829573667,0.0158414416948474,0.0093640330198571
All Population,Prevalence,New York,Both,15-19 years,Chronic kidney disease,Percent,1990,0.0313809538702164,0.0408491837579635,0.0237512495515607
All Population,Prevalence,New York,Both,20-24 years,Chronic kidney disease,Percent,1990,0.0457942318228351,0.0586568429393495,0.0360935835077722
All Population,Prevalence,New York,Both,25-29 years,Chronic kidney disease,Percent,1990,0.0499672642132767,0.0638403109320245,0.0384400681243591
All Population,Prevalence,New York,Both,30-34 years,Chronic kidney disease,Percent,1990,0.0550776783399378,0.0704667648446767,0.0424262733705829
All Population,Prevalence,New York,Both,35-39 years,Chronic kidney disease,Percent,1990,0.0612058475574626,0.0762493357387118,0.0474564300363707
All Population,Prevalence,New York,Both,40-44 years,Chronic kidney disease,Percent,1990,0.0656009085820548,0.0821323647454557,0.0525227093388382
All Population,Prevalence,New York,Both,45-49 years,Chronic kidney disease,Percent,1990,0.0745547181617844,0.0907209962631662,0.0594257351197844
All Population,Prevalence,New York,Both,50-54 years,Chronic kidney disease,Percent,1990,0.0933344570284291,0.1127580524302994,0.0762368932276233
All Population,Prevalence,New York,Both,55-59 years,Chronic kidney disease,Percent,1990,0.1197899034891474,0.1450238121311627,0.097985762208651
All Population,Prevalence,New York,Both,60-64 years,Chronic kidney disease,Percent,1990,0.1609375661942938,0.1917696150552128,0.1340940031057612
All Population,Prevalence,New York,Both,65-69 years,Chronic kidney disease,Percent,1990,0.2347462244724311,0.273853620315726,0.1974249986570818
All Population,Prevalence,New York,Both,70-74 years,Chronic kidney disease,Percent,1990,0.3295073295338245,0.3758675668185184,0.2837479978926147
All Population,Prevalence,New York,Both,75-79 years,Chronic kidney disease,Percent,1990,0.432453814874021,0.4881284121071271,0.3791328769988116
All Population,Prevalence,New York,Both,80+ years,Chronic kidney disease,Percent,1990,0.5922854871799426,0.6462075363185162,0.5486678795918685
All Population,Prevalence,New York,Both,<5 years,HIV/AIDS,Percent,1991,0.0005378773264076,0.0008327754827712,0.0003339754621206
All Population,Prevalence,New York,Both,5-9 years,HIV/AIDS,Percent,1991,9.19908927388e-05,0.0001370690011395,5.74482873153e-05
All Population,Prevalence,New York,Both,10-14 years,HIV/AIDS,Percent,1991,3.6768826384e-06,5.9149567914e-06,2.1641503005e-06
All Population,Prevalence,New York,Both,15-19 years,HIV/AIDS,Percent,1991,0.0009597327166697,0.0015549335551699,0.000512017686136
All Population,Prevalence,New York,Both,20-24 years,HIV/AIDS,Percent,1991,0.0059526425398142,0.0092304155695065,0.0034303465556635
All Population,Prevalence,New York,Both,25-29 years,HIV/AIDS,Percent,1991,0.0151265527320935,0.0224705788825002,0.0091404478253877
All Population,Prevalence,New York,Both,30-34 years,HIV/AIDS,Percent,1991,0.0216841664620536,0.0307536696247165,0.014079387843209
All Population,Prevalence,New York,Both,35-39 years,HIV/AIDS,Percent,1991,0.023556595206635,0.0330085273782797,0.0162523850042596
All Population,Prevalence,New York,Both,40-44 years,HIV/AIDS,Percent,1991,0.0178201673116133,0.0245930446874397,0.0128666984438292
All Population,Prevalence,New York,Both,45-49 years,HIV/AIDS,Percent,1991,0.0108429872030508,0.0144026520420267,0.0078617936679198
All Population,Prevalence,New York,Both,50-54 years,HIV/AIDS,Percent,1991,0.0062491589810068,0.0083022741318859,0.0046252791946861
All Population,Prevalence,New York,Both,55-59 years,HIV/AIDS,Percent,1991,0.0039626962350398,0.0052449271002471,0.0028904876025436
All Population,Prevalence,New York,Both,60-64 years,HIV/AIDS,Percent,1991,0.0023480636970414,0.0032319182348593,0.0016666978012661
