measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Eswatini,Both,All ages,Other drug use disorders,Rate,2007,57.99754072,76.50888404,43.71799408
Incidence,Eswatini,Both,All ages,Cocaine use disorders,Rate,2007,3.549276345,5.112573395,2.259353099
Incidence,Eswatini,Both,All ages,Cannabis use disorders,Rate,2007,44.39682509,66.241736,29.09355061
Incidence,Eswatini,Both,All ages,Lower respiratory infections,Rate,2007,6795.799615,7440.529263,6278.607366
Incidence,Eswatini,Both,All ages,Anxiety disorders,Rate,2007,555.4715816,702.8506382,402.1581638
Incidence,Eswatini,Both,All ages,Major depressive disorder,Rate,2007,3054.437974,3517.400234,2608.673629
Incidence,Eswatini,Both,All ages,Diabetes mellitus type 1,Rate,2007,0.746495365,1.005282759,0.582645849
Incidence,Eswatini,Both,All ages,Neonatal sepsis and other neonatal infections,Rate,2007,220.1238815,242.8429544,198.5130011
Incidence,Eswatini,Both,All ages,Neonatal preterm birth,Rate,2007,359.833871,392.8100036,327.6591062
Incidence,Eswatini,Both,All ages,Hemolytic disease and other neonatal jaundice,Rate,2007,14.224558,20.72951892,8.374415118
