year,sex,AlcoholUseDisorder,Asthma,BreastCancer,COPD,CardiovascularDiseases,CervicalCancer,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,InterpersonalViolence,LungCancer,MajorDepressiveDisorder,ProstateCancer,RoadInjuries,Type1Diabetes,Type2Diabetes
2015,Female,0.004829457,0.0561128,0.001518065,0.00925778,0.045179665,0.001448028,0.060109542,0.168091667,0.000211765,0.037239522,5.97e-05,0.031926802,0.0,0.009472601,0.002207665,0.036342293
2015,Male,0.031583067,0.061269845,5.29e-05,0.009724401,0.040847112,,0.051454878,0.186963493,0.00030584,0.041377985,0.000177277,0.023247781,0.000647136,0.025529575,0.002278451,0.026020004
2016,Both,0.017986573,0.058321643,0.00084119,0.0096731,0.04365514,0.000753174,0.056803724,0.178109317,0.000261372,0.039348337,0.000115815,0.027992569,0.000321229,0.017100509,0.002267965,0.032201216
2016,Female,0.004878756,0.055882388,0.001564986,0.009498658,0.045863643,0.001445717,0.061065854,0.169156852,0.000214932,0.037312725,6.03e-05,0.032165379,0.0,0.009396008,0.002228281,0.037202077
2016,Male,0.032242892,0.060974996,5.4e-05,0.009862939,0.041253718,,0.052168921,0.187847676,0.000311883,0.041562686,0.000176192,0.023454671,0.000670603,0.025480148,0.00231117,0.02676244
2017,Both,0.018490041,0.058154684,0.000867416,0.00989074,0.044202675,0.000755357,0.057645812,0.17862505,0.000266685,0.039491227,0.000115982,0.028181341,0.000333915,0.017071894,0.002296531,0.032976306
2017,Female,0.004937449,0.05572791,0.001617376,0.009779069,0.046560275,0.001452799,0.062014484,0.169852988,0.000218914,0.037388804,6.11e-05,0.032373753,0.0,0.009324913,0.002249155,0.037964196
2017,Male,0.033168903,0.060783569,5.51e-05,0.010011799,0.041649687,,0.052914854,0.188127393,0.000318428,0.041768807,0.000175457,0.023641073,0.00069558,0.025462774,0.002347883,0.027574197
2018,Both,0.019007433,0.058078916,0.000893657,0.010117763,0.044770181,0.000757254,0.058517318,0.179310722,0.000271818,0.039674616,0.000115923,0.028374124,0.000346978,0.017093867,0.002324238,0.033726787
2018,Female,0.004997155,0.055654776,0.001669935,0.010064285,0.047264762,0.001459174,0.06298247,0.170678312,0.000223112,0.037482865,6.19e-05,0.032579509,0.0,0.009289222,0.002269831,0.038690152
2018,Male,0.034122907,0.060694787,5.61e-05,0.010175571,0.042079323,,0.053700686,0.188625258,0.000324369,0.042039788,0.000174237,0.023837582,0.000721331,0.025514337,0.00238297,0.028372201
2019,Both,0.019411947,0.058099339,0.000917905,0.010336669,0.045372993,0.0007551,0.059438168,0.180799147,0.000276017,0.039927814,0.000115442,0.028602295,0.00036025,0.017203259,0.002347887,0.034446598
2019,Female,0.005049083,0.055669193,0.00171901,0.010317273,0.047972683,0.001457693,0.06400647,0.172102473,0.000226606,0.037608846,6.25e-05,0.032812474,0.0,0.009321188,0.002289796,0.039450842
2019,Male,0.034848778,0.060711743,5.69e-05,0.010357638,0.042579408,,0.054529002,0.190147172,0.000329128,0.042420812,0.000172384,0.024077936,0.000747444,0.025674956,0.002410347,0.029068485
2020,Both,0.019043899,0.058870678,0.000935896,0.01048852,0.045837388,0.00075306,0.060534575,0.184457997,0.000277195,0.040259932,0.00011428,0.035427598,0.000368021,0.01735861,0.002359976,0.035291554
2020,Female,0.005042207,0.056178536,0.001756793,0.010466212,0.048446407,0.001456339,0.065472515,0.174534961,0.000228784,0.037780418,6.3e-05,0.040464759,0.0,0.009415001,0.002305342,0.040468222
2020,Male,0.034037623,0.061753912,5.68e-05,0.010512475,0.043044102,,0.055247662,0.195086048,0.000329043,0.042915732,0.000169255,0.030033997,0.000762104,0.025865034,0.002418525,0.029748468
2021,Both,0.019441429,0.059103298,0.000950826,0.010577984,0.045834255,0.000760262,0.060244068,0.181503139,0.000274826,0.040375942,0.000112149,0.042504853,0.000364179,0.017624257,0.002391659,0.035921581
2021,Female,0.00511328,0.056732224,0.001789301,0.010676369,0.048631664,0.001472663,0.064903889,0.17326872,0.000229804,0.037906969,6.33e-05,0.048724992,0.0,0.009519888,0.00232719,0.04148689
2021,Male,0.034732919,0.061634265,5.6e-05,0.010473031,0.042849159,,0.055271578,0.190292515,0.000322882,0.043011569,0.000164336,0.035867032,0.00075284,0.026273596,0.002460495,0.029982756
