age,sex,2020,2021,2022,2023,2024
60,Female,603766.7193494882,596790.9849578539,591100.7701901473,589300.2105809973,589930.3946966841
60,Male,572239.3870214274,565638.3336768852,560213.6403192243,559391.5559509628,560157.2997602425
61,Female,603766.7193494882,596790.9849578539,591100.7701901473,589300.2105809973,589930.3946966841
61,Male,572239.3870214274,565638.3336768852,560213.6403192243,559391.5559509628,560157.2997602425
62,Female,603766.7193494882,596790.9849578539,591100.7701901473,589300.2105809973,589930.3946966841
62,Male,572239.3870214274,565638.3336768852,560213.6403192243,559391.5559509628,560157.2997602425
63,Female,603766.7193494882,596790.9849578539,591100.7701901473,589300.2105809973,589930.3946966841
63,Male,572239.3870214274,565638.3336768852,560213.6403192243,559391.5559509628,560157.2997602425
64,Female,603766.7193494882,596790.9849578539,591100.7701901473,589300.2105809973,589930.3946966841
64,Male,572239.3870214274,565638.3336768852,560213.6403192243,559391.5559509628,560157.2997602425
65,Female,366726.3561107174,367720.4538703835,369929.6374478305,374525.8030159855,379608.48323096306
65,Male,329608.1275651626,331012.7878140011,333141.2610048035,338136.42025356326,343445.8436136704
66,Female,366726.3561107174,367720.4538703835,369929.6374478305,374525.8030159855,379608.48323096306
66,Male,329608.1275651626,331012.7878140011,333141.2610048035,338136.42025356326,343445.8436136704
67,Female,366726.3561107174,367720.4538703835,369929.6374478305,374525.8030159855,379608.48323096306
67,Male,329608.1275651626,331012.7878140011,333141.2610048035,338136.42025356326,343445.8436136704
68,Female,366726.3561107174,367720.4538703835,369929.6374478305,374525.8030159855,379608.48323096306
68,Male,329608.1275651626,331012.7878140011,333141.2610048035,338136.42025356326,343445.8436136704
69,Female,366726.3561107174,367720.4538703835,369929.6374478305,374525.8030159855,379608.48323096306
69,Male,329608.1275651626,331012.7878140011,333141.2610048035,338136.42025356326,343445.8436136704
70,Female,347507.55611071736,350560.4538703835,350209.03744783055,353717.0030159855,358954.28323096305
70,Male,306983.7275651626,309777.1878140011,309622.6610048035,313654.0202535633,319223.0436136704
71,Female,347507.55611071736,350560.4538703835,350209.03744783055,353717.0030159855,358954.28323096305
71,Male,306983.7275651626,309777.1878140011,309622.6610048035,313654.0202535633,319223.0436136704
72,Female,347507.55611071736,350560.4538703835,350209.03744783055,353717.0030159855,358954.28323096305
72,Male,306983.7275651626,309777.1878140011,309622.6610048035,313654.0202535633,319223.0436136704
73,Female,347507.55611071736,350560.4538703835,350209.03744783055,353717.0030159855,358954.28323096305
73,Male,306983.7275651626,309777.1878140011,309622.6610048035,313654.0202535633,319223.0436136704
74,Female,347507.55611071736,350560.4538703835,350209.03744783055,353717.0030159855,358954.28323096305
74,Male,306983.7275651626,309777.1878140011,309622.6610048035,313654.0202535633,319223.0436136704
75,Female,318297.55611071736,319010.6538703835,324686.83744783053,330124.4030159855,337256.68323096307
75,Male,277506.1275651626,278137.38781400106,283357.46100480354,288871.6202535633,295572.44361367036
76,Female,318297.55611071736,319010.6538703835,324686.83744783053,330124.4030159855,337256.68323096307
76,Male,277506.1275651626,278137.38781400106,283357.46100480354,288871.6202535633,295572.44361367036
77,Female,318297.55611071736,319010.6538703835,324686.83744783053,330124.4030159855,337256.68323096307
77,Male,277506.1275651626,278137.38781400106,283357.46100480354,288871.6202535633,295572.44361367036
78,Female,318297.55611071736,319010.6538703835,324686.83744783053,330124.4030159855,337256.68323096307
78,Male,277506.1275651626,278137.38781400106,283357.46100480354,288871.6202535633,295572.44361367036
79,Female,318297.55611071736,319010.6538703835,324686.83744783053,330124.4030159855,337256.68323096307
79,Male,277506.1275651626,278137.38781400106,283357.46100480354,288871.6202535633,295572.44361367036
80,Female,298094.9561107174,298260.05387038353,300159.03744783055,304926.8030159855,310150.48323096306
