Time,Sex,Age,mx
2000,Male,10,0.000184389
2000,Male,15,0.000671716
2000,Male,20,0.001082537
2000,Male,25,0.001058672
2000,Male,30,0.001289329
2000,Male,35,0.001864877
2000,Male,40,0.002825266
2000,Male,45,0.004449114
2000,Male,50,0.006257335
2000,Male,55,0.009471357
2000,Male,60,0.014524459
2000,Male,65,0.022435575
2000,Male,70,0.034581191
2000,Male,75,0.054293184
2000,Male,0,0.006925584
2000,Male,80,0.0868948
2000,Male,85,0.141403727
2000,Male,90,0.215835085
2000,Male,2,0.000236922
2000,Male,95,0.300332513
2001,Male,5,0.000144451
2001,Male,10,0.000178651
2001,Male,15,0.000679512
2001,Male,20,0.00118942
2001,Male,25,0.001369238
2001,Male,30,0.001630983
2001,Male,35,0.002239303
2001,Male,40,0.003080869
2001,Male,45,0.004597825
2001,Male,50,0.006315887
2001,Male,55,0.009382628
2001,Male,60,0.014222798
2001,Male,65,0.021787742
2001,Male,70,0.03345799
2001,Male,75,0.053010126
2001,Male,0,0.006815486
2001,Male,80,0.084439753
2001,Male,85,0.13881793
2001,Male,90,0.214274525
2001,Male,2,0.000243953
2001,Male,95,0.29935213
2002,Male,5,0.000137682
2002,Male,10,0.000179484
2002,Male,15,0.000671278
2002,Male,20,0.001107317
2002,Male,25,0.001103422
2002,Male,30,0.001255544
2002,Male,35,0.001844504
2002,Male,40,0.002748555
2002,Male,45,0.004271293
2002,Male,50,0.006130984
2002,Male,55,0.009098057
2002,Male,60,0.014061385
2002,Male,65,0.021522887
2002,Male,70,0.03332054
2002,Male,75,0.052675464
2002,Male,0,0.006871708
2002,Male,80,0.083421457
2002,Male,85,0.139177036
2002,Male,90,0.213196164
2002,Male,2,0.000224177
2002,Male,95,0.298026234
2003,Male,5,0.000137233
2003,Male,10,0.000171703
2003,Male,15,0.000670359
2003,Male,20,0.001108728
2003,Male,25,0.001094349
2003,Male,30,0.001204163
2003,Male,35,0.00174077
2003,Male,40,0.002644568
2003,Male,45,0.004160642
2003,Male,50,0.006156793
2003,Male,55,0.008906623
2003,Male,60,0.01364453
2003,Male,65,0.020726415
2003,Male,70,0.032161873
2003,Male,75,0.051404263
2003,Male,0,0.006872157
2003,Male,80,0.081474186
2003,Male,85,0.13445398
2003,Male,90,0.211601141
2003,Male,2,0.000218974
2003,Male,95,0.296687078
2004,Male,5,0.000134672
2004,Male,10,0.000163097
2004,Male,15,0.000655406
2004,Male,20,0.001084818
2004,Male,25,0.001069397
2004,Male,30,0.001142377
2004,Male,35,0.001604926
2004,Male,40,0.002487359
2004,Male,45,0.003955339
2004,Male,50,0.006063086
2004,Male,55,0.008599505
2004,Male,60,0.013005392
2004,Male,65,0.019666133
2004,Male,70,0.030674308
2004,Male,75,0.049140877
2004,Male,0,0.006702212
2004,Male,80,0.078220544
2004,Male,85,0.128030331
2004,Male,90,0.209019256
2004,Male,2,0.000210865
2004,Male,95,0.295336859
2005,Male,5,0.000132252
2005,Male,10,0.000158025
2005,Male,15,0.000651144
2005,Male,20,0.001102598
2005,Male,25,0.001087098
